FREQ;Frequency;BASE_CUR;Base Currency;QUOTE_CUR;Quote Currency;TENOR;Tenor;DECIMALS;CALCULATED;UNIT_MULT;Unit Multiplier;COLLECTION;Collection Indicator;TIME_PERIOD;OBS_VALUE
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-18;12.1568
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-19;12.0482
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-20;11.9818
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-21;12.0792
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-24;12.0869
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-25;12.1488
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-26;12.1346
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-27;12.1087
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-02-28;12.177
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-02;11.9435
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-03;11.8754
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-04;11.8654
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-05;11.9661
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-06;12.0442
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-09;12.4624
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-10;12.4087
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-11;12.3797
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-12;12.8276
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-13;12.4583
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-16;12.6229
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-17;12.6689
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-18;12.6923
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-19;13.2457
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-20;13.3162
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-23;13.1836
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-24;13.0016
